Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
74,70,2019-03-24,29-210,HOU,@,NOP,W (+23),1,28:53,10,19,.526,6,12,.500,2,2,1.000,0,3,3,4,1,1,6,1,28,17.7,+14
75,71,2019-03-26,29-212,HOU,@,MIL,L (-14),1,37:55,9,26,.346,1,9,.111,4,5,.800,0,10,10,7,0,2,4,4,23,11.7,-14
76,72,2019-03-28,29-214,HOU,,DEN,W (+27),1,32:20,10,22,.455,5,11,.455,13,14,.929,2,4,6,6,1,1,4,2,38,29.9,+14
77,73,2019-03-30,29-216,HOU,,SAC,W (+11),1,37:47,13,31,.419,7,23,.304,17,18,.944,1,10,11,10,0,0,3,1,50,40.4,+17
78,74,2019-04-02,29-219,HOU,@,SAC,W (+25),1,29:28,12,19,.632,7,12,.583,5,6,.833,0,3,3,10,1,0,2,2,36,33.2,+29
79,75,2019-04-03,29-220,HOU,@,LAC,W (+32),1,30:21,9,15,.600,3,7,.429,10,12,.833,1,6,7,7,0,0,6,3,31,23.5,+16
80,76,2019-04-05,29-222,HOU,,NYK,W (+24),1,29:12,8,21,.381,5,13,.385,5,5,1.000,1,8,9,8,1,1,3,2,26,21.1,+29
81,77,2019-04-07,29-224,HOU,,PHO,W (+36),1,29:00,10,14,.714,5,6,.833,5,7,.714,0,13,13,9,2,0,6,3,30,28.4,+39
82,78,2019-04-09,29-226,HOU,@,OKC,L (-1),1,36:58,11,28,.393,5,15,.333,12,13,.923,1,9,10,3,1,1,4,4,39,25.0,+1
1,1,2019-10-24,30-059,HOU,,MIL,L (-6),1,36:26,2,13,.154,1,8,.125,14,14,1.000,2,5,7,14,1,1,7,5,19,16.1,-3
2,2,2019-10-26,30-061,HOU,,NOP,W (+3),1,36:05,8,29,.276,2,18,.111,11,12,.917,0,4,4,5,1,0,8,3,29,8.0,+7
3,3,2019-10-28,30-063,HOU,,OKC,W (+4),1,36:52,8,21,.381,3,14,.214,21,22,.955,0,3,3,7,1,1,4,5,40,29.6,-4
4,4,2019-10-30,30-065,HOU,@,WAS,W (+1),1,37:30,18,32,.563,6,14,.429,17,18,.944,1,2,3,9,1,0,4,3,59,46.8,+6
5,5,2019-11-01,30-067,HOU,@,BRK,L (-7),1,36:39,10,31,.323,2,16,.125,14,15,.933,2,3,5,8,0,0,5,3,36,19.6,-14
6,6,2019-11-03,30-069,HOU,@,MIA,L (-29),1,26:26,6,14,.429,3,9,.333,14,14,1.000,1,3,4,3,1,0,6,4,29,18.7,-17
7,7,2019-11-04,30-070,HOU,@,MEM,W (+7),1,37:15,12,28,.429,7,16,.438,13,18,.722,4,6,10,6,2,1,7,2,44,30.9,+10
8,8,2019-11-06,30-072,HOU,,GSW,W (+17),1,35:18,10,23,.435,6,16,.375,10,13,.769,0,4,4,13,3,3,5,1,36,32.7,+20
9,9,2019-11-09,30-075,HOU,@,CHI,W (+23),1,35:48,12,27,.444,9,19,.474,9,11,.818,1,9,10,9,2,0,6,1,42,32.4,+36
10,10,2019-11-11,30-077,HOU,@,NOP,W (+6),1,38:16,13,25,.520,3,11,.273,10,14,.714,0,4,4,9,2,1,6,4,39,27.7,-4
11,11,2019-11-13,30-079,HOU,,LAC,W (+9),1,44:27,12,26,.462,7,13,.538,16,17,.941,0,6,6,7,3,0,6,0,47,36.9,+10
12,12,2019-11-15,30-081,HOU,,IND,W (+9),1,40:27,13,26,.500,6,14,.429,12,14,.857,0,8,8,5,4,0,3,4,44,35.5,+18
13,13,2019-11-16,30-082,HOU,@,MIN,W (+20),1,38:41,16,41,.390,8,22,.364,9,11,.818,1,5,6,6,0,0,5,4,49,25.7,+16
14,14,2019-11-18,30-084,HOU,,POR,W (+24),1,33:06,11,19,.579,5,10,.500,9,10,.900,1,5,6,5,1,1,3,4,36,29.5,+27
15,15,2019-11-20,30-086,HOU,@,DEN,L (-10),1,37:06,8,16,.500,4,8,.500,7,10,.700,1,6,7,7,3,0,8,4,27,18.6,-17
16,16,2019-11-22,30-088,HOU,@,LAC,L (-3),1,42:20,9,16,.563,5,11,.455,14,18,.778,0,8,8,12,2,0,4,4,37,35.0,+6
17,17,2019-11-24,30-090,HOU,,DAL,L (-14),1,41:17,11,24,.458,2,15,.133,8,10,.800,1,8,9,11,1,0,6,5,32,22.6,-12
18,18,2019-11-27,30-093,HOU,,MIA,W (+9),1,35:15,9,23,.391,7,17,.412,9,10,.900,2,4,6,5,1,1,2,0,34,26.9,+11
19,19,2019-11-30,30-096,HOU,,ATL,W (+47),1,30:41,16,24,.667,8,14,.571,20,23,.870,0,3,3,8,3,1,5,3,60,52.4,+50
20,20,2019-12-03,30-099,HOU,@,SAS,L (-2),1,48:31,11,37,.297,4,20,.200,24,24,1.000,3,6,9,6,4,0,5,4,50,34.0,-3
21,21,2019-12-05,30-101,HOU,@,TOR,W (+10),1,40:24,7,11,.636,3,5,.600,6,6,1.000,0,7,7,3,5,1,4,5,23,22.0,+7
22,22,2019-12-07,30-103,HOU,,PHO,W (+6),1,39:04,8,27,.296,3,17,.176,15,18,.833,2,4,6,4,3,1,0,3,34,25.0,+9
23,23,2019-12-09,30-105,HOU,,SAC,L (-1),1,39:53,8,19,.421,3,10,.300,8,8,1.000,0,4,4,10,2,1,8,4,27,18.2,-6
24,24,2019-12-11,30-107,HOU,@,CLE,W (+6),1,41:16,20,34,.588,10,18,.556,5,5,1.000,0,3,3,8,2,2,6,3,55,41.9,+10
25,25,2019-12-13,30-109,HOU,@,ORL,W (+23),1,36:14,19,31,.613,10,15,.667,6,6,1.000,2,3,5,7,2,3,3,5,54,46.2,+21
26,26,2019-12-14,30-110,HOU,,DET,L (-8),1,38:28,14,33,.424,4,13,.308,7,8,.875,2,4,6,7,1,0,4,4,39,24.0,-11
27,27,2019-12-16,30-112,HOU,,SAS,W (+2),1,36:13,10,29,.345,4,13,.308,4,4,1.000,3,5,8,7,1,1,2,3,28,18.7,+10
28,28,2019-12-19,30-115,HOU,@,LAC,W (+5),1,36:14,8,16,.500,5,11,.455,7,10,.700,0,1,1,10,2,1,6,4,28,21.2,+1
29,29,2019-12-21,30-117,HOU,@,PHO,W (+14),1,34:00,15,27,.556,9,19,.474,8,9,.889,1,5,6,7,0,1,4,5,47,35.5,+2
30,30,2019-12-23,30-119,HOU,@,SAC,W (+9),1,37:42,10,19,.526,4,11,.364,10,12,.833,0,5,5,5,2,1,3,2,34,27.8,+7
31,31,2019-12-25,30-121,HOU,@,GSW,L (-12),1,38:13,9,18,.500,6,10,.600,0,1,.000,1,5,6,11,3,0,2,3,24,24.3,-18
32,32,2019-12-28,30-124,HOU,,BRK,W (+10),1,39:02,17,27,.630,6,10,.600,4,9,.444,2,8,10,6,1,3,3,2,44,37.2,+16
34,33,2019-12-31,30-127,HOU,,DEN,W (+26),1,33:56,10,17,.588,6,9,.667,9,13,.692,0,3,3,6,1,2,4,2,35,28.2,+21
35,34,2020-01-03,30-130,HOU,,PHI,W (+10),1,40:49,13,24,.542,6,12,.500,12,12,1.000,1,10,11,11,1,1,5,3,44,39.3,+10
